PROTEIN_SEQUENCE	Comm1 (26)	Comm2 (8)	Comm3 (4)
B4KBQ5_DROMO/10-157	23.447693 (20)	0.000000 (0)	0.000000 (0)
G9PCK0_HYPAI/34-182	42.170769 (25)	0.000000 (0)	0.000000 (0)
Q1J2T3_DEIGD/4-131	0.478462 (5)	105.267860 (7)	117.500000 (4)
A4WCB1_ENT38/5-139	12.530769 (17)	0.000000 (1)	0.000000 (0)
C9YF68_9BURK/19-164	46.073845 (26)	0.000000 (0)	0.000000 (0)
C1GWX1_PARBA/20-183	42.195385 (25)	0.000000 (0)	0.000000 (0)
A1SKH0_NOCSJ/117-247	1.996923 (10)	45.232143 (5)	0.000000 (0)
B3TC92_9ZZZZ/7-129	11.450769 (15)	0.000000 (0)	0.000000 (1)
F0J368_ACIMA/8-142	0.755385 (6)	131.732147 (8)	0.000000 (1)
G6E7Q1_9SPHN/10-153	38.718460 (24)	0.000000 (0)	0.000000 (0)
ARSC_BACSK/6-135	1.201538 (7)	108.482140 (7)	65.833336 (3)
C4G376_ABIDE/13-149	3.255385 (11)	0.000000 (1)	0.000000 (0)
B3QQX2_CHLP8/8-143	0.755385 (6)	39.196430 (5)	117.500000 (4)
Q9CDL7_LACLA/4-141	12.860000 (16)	0.000000 (0)	0.000000 (0)
C4FTX9_9FIRM/1-128	10.378462 (10)	0.000000 (0)	0.000000 (0)
C4FD30_9BIFI/6-127	0.786154 (7)	77.732140 (6)	22.000000 (2)
B2AJL2_CUPTR/8-142	0.683077 (5)	131.732147 (8)	0.000000 (0)
H7ERG7_PSEST/5-141	10.658462 (16)	0.000000 (0)	0.000000 (0)
B2GCV9_LACF3/4-134	1.509231 (8)	104.964287 (7)	117.500000 (4)
B5W3R9_SPIMA/5-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
Q390Z0_BURS3/7-141	10.961538 (17)	0.000000 (0)	0.000000 (0)
G2GAZ2_9ACTO/10-131	0.644615 (6)	54.071430 (5)	117.500000 (4)
Q1PKA3_PROMR/6-153	35.992310 (24)	0.000000 (0)	0.000000 (0)
D5ZR23_9ACTO/5-151	30.761538 (22)	0.000000 (0)	0.000000 (0)
E6UVS6_VARPE/4-137	11.506154 (16)	0.000000 (0)	0.000000 (1)
F1YPQ3_9ACTO/8-131	0.535385 (5)	9.321428 (3)	62.583332 (3)
G4EEQ7_9BACL/4-145	31.621538 (22)	0.000000 (0)	0.000000 (0)
F9PL05_9ACTO/38-216	10.210770 (16)	0.000000 (0)	0.000000 (0)
B1MMC5_MYCA9/91-212	0.643077 (6)	54.071430 (5)	117.500000 (4)
E9J8K3_SOLIN/40-185	38.036922 (24)	0.000000 (0)	0.000000 (0)
Q3A3P2_PELCD/7-139	1.244615 (7)	64.571426 (5)	117.500000 (4)
A6VX97_MARMS/6-149	46.073845 (26)	0.000000 (0)	0.000000 (1)
D0ST49_ACILW/9-158	46.073845 (26)	0.000000 (0)	0.000000 (0)
B2TS00_CLOBB/5-126	1.092308 (8)	34.017857 (4)	0.000000 (1)
B7GG24_ANOFW/4-147	31.241539 (22)	0.000000 (0)	0.000000 (0)
B2T885_BURPP/4-137	6.473846 (14)	0.000000 (0)	0.000000 (0)
F8ALQ6_METOI/3-122	0.726154 (7)	19.142857 (3)	56.916668 (3)
G7Q9K3_9DELT/3-135	0.678462 (6)	64.571426 (5)	117.500000 (4)
C6A555_THESM/6-128	1.318462 (8)	47.857143 (5)	117.500000 (4)
I0IGR3_9BACT/230-365	2.946154 (10)	0.000000 (0)	0.000000 (1)
G0BYJ1_9ENTR/5-139	10.658462 (16)	0.000000 (1)	0.000000 (0)
A9RV55_PHYPA/20-173	38.263077 (24)	0.000000 (0)	0.000000 (0)
Q6C3R6_YARLI/1-134	29.038462 (16)	0.000000 (0)	0.000000 (0)
H5YP26_9BRAD/4-138	0.755385 (6)	131.732147 (8)	0.000000 (0)
Q97TJ6_CLOAB/5-126	1.092308 (8)	34.017857 (4)	0.000000 (1)
Q8FTR0_COREF/26-152	0.826154 (6)	9.321428 (3)	62.583332 (3)
F2F5J6_SOLSS/4-145	27.681538 (21)	0.000000 (0)	0.000000 (0)
C7MVP5_SACVD/14-159	23.338461 (20)	0.000000 (0)	0.000000 (0)
F8A407_CELGA/7-128	0.644615 (6)	54.071430 (5)	117.500000 (4)
G8ATG4_AZOBR/13-145	2.500000 (9)	3.428571 (2)	56.916668 (3)
G0VQ14_MEGEL/6-151	14.278461 (16)	0.000000 (0)	0.000000 (0)
G7FSK5_9GAMM/9-133	1.138462 (7)	64.875000 (6)	0.000000 (1)
A1BDP6_CHLPD/5-135	1.201538 (7)	105.267860 (7)	117.500000 (4)
A8RAL0_9FIRM/6-127	0.786154 (7)	77.732140 (6)	22.000000 (2)
E5S2Q0_TRISP/8-152	36.213844 (21)	0.000000 (0)	0.000000 (0)
F9NJN7_STREQ/4-137	17.970770 (18)	0.000000 (0)	0.000000 (0)
A7MHH3_CROS8/7-141	10.658462 (16)	0.000000 (1)	0.000000 (0)
H8J5I4_MYCIT/361-481	0.644615 (6)	54.071430 (5)	117.500000 (4)
C2GKC5_9CORY/10-152	17.521538 (18)	0.000000 (0)	0.000000 (1)
B9KD08_CAMLR/4-146	13.003077 (15)	0.000000 (0)	0.000000 (0)
C6DCJ4_PECCP/5-139	9.310769 (15)	0.000000 (1)	0.000000 (0)
A3ERU4_9BACT/39-177	8.110769 (13)	0.000000 (0)	0.000000 (1)
C5AY24_METEA/8-142	0.820000 (7)	131.732147 (8)	0.000000 (0)
A2G0H1_TRIVA/8-142	11.352307 (16)	0.000000 (1)	0.000000 (1)
D6TSZ8_9CHLR/118-247	0.476923 (4)	104.964287 (7)	0.000000 (1)
B8GZC9_CAUCN/11-154	44.135384 (25)	0.000000 (0)	0.000000 (0)
Q2SPK8_HAHCH/3-133	0.689231 (6)	98.392860 (7)	0.000000 (0)
Q1J0C6_DEIGD/4-131	0.478462 (5)	105.267860 (7)	117.500000 (4)
F0JC85_DESDE/6-138	0.821538 (7)	14.232142 (3)	117.500000 (4)
C3BAZ4_BACMY/1-124	0.338462 (3)	0.000000 (0)	0.000000 (0)
F0T2C0_SYNGF/3-139	4.429231 (12)	0.000000 (0)	19.500000 (2)
F4DY73_PSEMN/3-134	0.944615 (7)	131.732147 (8)	0.000000 (0)
G5JKV2_9STAP/3-135	4.198462 (12)	0.000000 (0)	0.000000 (0)
A9WNX1_RENSM/7-164	26.207693 (22)	0.000000 (0)	0.000000 (0)
H5Y0L9_9FIRM/5-141	6.980000 (14)	0.000000 (0)	0.000000 (1)
E4TAU8_RIEAD/3-139	36.626152 (23)	0.000000 (0)	0.000000 (0)
G1L7B8_AILME/15-148	15.713846 (15)	0.000000 (0)	0.000000 (1)
D9STL9_CLOC7/3-141	3.169231 (11)	0.000000 (0)	0.000000 (0)
Q01Y96_SOLUE/4-125	0.755385 (6)	104.964287 (7)	117.500000 (4)
H4F030_9RHIZ/7-141	0.755385 (6)	131.732147 (8)	0.000000 (0)
I1LRD8_SOYBN/74-228	38.263077 (24)	0.000000 (0)	0.000000 (0)
I1AZS6_9RHOB/5-146	36.053844 (23)	0.000000 (0)	0.000000 (0)
G6YMJ0_9ALTE/7-151	40.878460 (25)	0.000000 (1)	0.000000 (0)
I0XQ51_9LEPT/13-159	41.256924 (25)	0.000000 (0)	0.000000 (0)
C0GGE1_9FIRM/5-145	5.380000 (13)	0.000000 (0)	0.000000 (0)
F5JAF7_9RHIZ/9-143	0.873846 (7)	131.732147 (8)	0.000000 (0)
D0BM67_9LACT/3-143	18.244616 (18)	0.000000 (0)	0.000000 (0)
E8JJ73_9ACTO/3-160	13.846154 (18)	0.000000 (0)	0.000000 (0)
F7JUE4_9FIRM/374-512	2.243077 (7)	0.000000 (0)	0.000000 (0)
A4BE05_9GAMM/3-146	46.073845 (26)	0.000000 (0)	0.000000 (0)
G2DK65_9NEIS/1-130	12.764615 (10)	0.000000 (0)	0.000000 (0)
E0PGY9_STRGY/4-137	12.860000 (16)	0.000000 (0)	0.000000 (0)
D3SF68_THISK/5-142	9.213846 (15)	0.000000 (0)	0.000000 (0)
A6F6A0_9GAMM/5-139	8.947692 (15)	0.000000 (0)	0.000000 (0)
G2DUT1_9NEIS/5-139	8.749230 (15)	0.000000 (0)	0.000000 (0)
F5LA89_9BACI/4-142	3.495385 (11)	0.000000 (0)	0.000000 (0)
C5EXM0_9HELI/7-147	22.553846 (19)	0.000000 (0)	0.000000 (0)
G5H0S4_9FIRM/4-145	15.396923 (17)	0.000000 (0)	0.000000 (0)
B3E3B2_GEOLS/6-138	0.543077 (5)	131.732147 (8)	117.500000 (4)
F3Y7S3_MELPT/4-147	26.639999 (21)	0.000000 (0)	0.000000 (0)
G2FTN8_9FIRM/1-124	0.667692 (4)	0.000000 (0)	0.000000 (1)
Q0B5A7_BURCM/5-138	8.013846 (14)	0.000000 (0)	0.000000 (1)
H5XB71_9PSEU/12-154	21.172308 (19)	0.000000 (0)	0.000000 (0)
F5L7P1_9BACI/8-137	1.201538 (7)	84.446426 (6)	117.500000 (4)
Q04NT7_LEPBJ/25-171	46.073845 (26)	0.000000 (0)	0.000000 (0)
Q5QVD7_IDILO/8-132	0.570769 (6)	64.875000 (6)	0.000000 (0)
A9KKA2_CLOPH/8-144	3.629231 (11)	0.000000 (1)	0.000000 (0)
B0RDM3_CLAMS/17-164	19.035385 (18)	0.000000 (1)	0.000000 (0)
D1NV39_9BIFI/22-175	12.416924 (17)	0.000000 (0)	0.000000 (0)
G7SG80_STRSU/4-135	16.024616 (17)	0.000000 (0)	0.000000 (0)
D1CII4_THET1/8-137	0.476923 (4)	131.732147 (8)	117.500000 (4)
D4IVW3_BUTFI/1-129	8.030769 (9)	0.000000 (0)	0.000000 (0)
Q03T15_LACBA/4-148	20.972307 (19)	0.000000 (1)	0.000000 (0)
D5WIE1_BURSC/7-142	0.792308 (7)	14.232142 (3)	0.000000 (0)
B9E8F8_MACCJ/3-135	5.630769 (13)	0.000000 (0)	0.000000 (0)
I0GT08_SELRU/4-147	13.132308 (16)	0.000000 (0)	0.000000 (0)
E8WRE0_GEOS8/6-135	0.993846 (7)	105.267860 (7)	62.583332 (3)
H5UK93_9ACTO/1-130	14.227693 (12)	0.000000 (0)	0.000000 (1)
H0G7E1_RHIML/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
F9P9V7_STRCV/4-136	16.024616 (17)	0.000000 (0)	0.000000 (0)
Q3A1B7_PELCD/36-185	0.575385 (6)	12.696428 (3)	117.500000 (4)
A7HQG3_PARL1/18-152	1.060000 (7)	9.321428 (3)	24.000000 (2)
A7IB04_METB6/10-140	0.801538 (6)	5.767857 (2)	56.916668 (3)
H5VC67_HELBI/7-147	11.781538 (14)	0.000000 (1)	0.000000 (0)
E0QHT3_9FIRM/4-145	13.132308 (16)	0.000000 (0)	0.000000 (0)
A1K815_AZOSB/7-131	1.201538 (7)	105.267860 (7)	24.333334 (2)
A4T7F7_MYCGI/100-219	0.643077 (7)	71.892860 (6)	0.000000 (1)
H1GYU0_9FLAO/4-146	40.544617 (25)	0.000000 (0)	0.000000 (0)
A1RDB4_ARTAT/8-132	0.390769 (4)	21.696428 (4)	62.583332 (3)
E9EST0_METAR/7-155	42.170769 (25)	0.000000 (0)	0.000000 (0)
E9UZK9_9ACTO/14-135	0.520000 (6)	54.071430 (5)	117.500000 (4)
D1NRT6_9BIFI/4-176	5.090769 (12)	0.000000 (1)	0.000000 (0)
A6UVL4_META3/3-122	0.726154 (7)	19.142857 (3)	24.000000 (2)
Q0YQ07_9CHLB/5-135	1.201538 (7)	105.267860 (7)	117.500000 (4)
F9VTV1_9ACTO/16-187	7.266154 (14)	0.000000 (0)	0.000000 (0)
B4R157_DROSI/10-155	32.541538 (23)	0.000000 (0)	0.000000 (0)
E9GL49_DAPPU/8-154	43.103077 (25)	0.000000 (0)	0.000000 (0)
E8NEE6_MICTS/12-187	1.638462 (8)	0.000000 (0)	0.000000 (0)
Q28NB4_JANSC/8-145	1.098462 (7)	3.625000 (2)	24.000000 (2)
G9RZE6_9FIRM/4-145	15.396923 (17)	0.000000 (0)	0.000000 (0)
F0P4C1_STAPE/3-135	6.892308 (14)	0.000000 (0)	0.000000 (0)
C7QZN0_JONDD/212-333	0.644615 (6)	54.071430 (5)	62.583332 (3)
Q2NB23_ERYLH/7-150	38.318462 (23)	0.000000 (0)	0.000000 (0)
D0WY65_VIBAL/5-135	0.670769 (6)	16.946428 (3)	0.000000 (0)
F2BWX9_9FIRM/4-144	11.209230 (15)	0.000000 (0)	0.000000 (0)
Q7UK73_RHOBA/293-432	2.989231 (10)	0.000000 (0)	0.000000 (1)
G2ELM6_CORGT/84-205	0.644615 (6)	54.071430 (5)	0.000000 (1)
D3PE89_DEFDS/5-134	1.201538 (7)	105.267860 (7)	117.500000 (4)
B2EAK0_BIFAN/3-175	6.863077 (13)	0.000000 (1)	0.000000 (1)
Q0G0K3_9RHIZ/27-158	0.903077 (7)	11.250000 (3)	0.000000 (1)
Q8NQC7_CORGL/7-133	0.826154 (6)	21.696428 (4)	62.583332 (3)
A8UTA0_9AQUI/17-143	0.498462 (7)	42.517857 (5)	0.000000 (0)
F9CV96_9ARCH/5-128	0.644615 (6)	54.071430 (5)	117.500000 (4)
Q1GLD6_SILST/8-145	1.098462 (7)	0.000000 (1)	24.000000 (2)
H1QVK8_VIBFI/5-143	12.656923 (17)	0.000000 (0)	0.000000 (0)
I1DK80_9VIBR/4-146	41.141537 (24)	0.000000 (0)	0.000000 (0)
F6SW05_MONDO/14-159	39.433846 (24)	0.000000 (0)	0.000000 (0)
A8LEZ3_FRASN/8-141	5.324615 (13)	0.000000 (1)	0.000000 (0)
H5WIR9_9BURK/9-156	38.107693 (24)	0.000000 (0)	0.000000 (0)
G9A2J4_RHIFH/9-153	35.192307 (23)	0.000000 (0)	0.000000 (0)
G7LNK8_9ENTR/5-139	9.310769 (15)	0.000000 (1)	0.000000 (0)
B2RI15_PORG3/6-151	38.263077 (24)	0.000000 (1)	0.000000 (0)
A5GVR2_SYNR3/8-153	36.526154 (24)	0.000000 (0)	0.000000 (0)
F9BH02_VIBCL/5-143	7.721539 (14)	0.000000 (0)	0.000000 (0)
D7UZQ9_LISGR/8-137	0.053846 (2)	5.107143 (2)	0.000000 (0)
G9EI66_9GAMM/3-147	46.073845 (26)	0.000000 (0)	0.000000 (0)
F2J0E3_POLGS/11-152	40.544617 (25)	0.000000 (0)	0.000000 (0)
E4TXK9_SULKY/4-136	0.543077 (5)	77.732140 (6)	117.500000 (4)
B5JUY2_9GAMM/4-149	40.852306 (25)	0.000000 (0)	0.000000 (0)
A0YF49_9GAMM/440-576	8.187693 (13)	0.000000 (0)	0.000000 (0)
Q2G9I1_NOVAD/6-149	44.135384 (25)	0.000000 (0)	0.000000 (0)
E1UNP3_BACAS/4-148	29.363077 (21)	0.000000 (0)	0.000000 (0)
Q1B3B0_MYCSS/99-218	0.643077 (7)	71.892860 (6)	0.000000 (1)
A4XH76_CALS8/5-125	1.596923 (9)	77.732140 (6)	117.500000 (4)
D5ADS8_PICSI/80-233	38.263077 (24)	0.000000 (0)	0.000000 (0)
G8R8F8_OWEHD/4-133	1.201538 (7)	85.178574 (6)	62.583332 (3)
E8YIV1_9BURK/6-156	37.689232 (24)	0.000000 (0)	0.000000 (0)
A6VIJ0_METM7/12-131	0.726154 (7)	19.142857 (3)	56.916668 (3)
F5L3R7_9BACI/7-136	1.201538 (7)	108.482140 (7)	117.500000 (4)
D9VZB1_9ACTO/16-202	4.093846 (11)	0.000000 (0)	0.000000 (1)
D3E4J5_METRM/120-254	2.587692 (8)	0.000000 (0)	0.000000 (0)
G6GIK7_9FIRM/5-141	3.435385 (11)	0.000000 (0)	0.000000 (1)
F8I0I4_WEIKK/4-148	22.263077 (19)	0.000000 (0)	0.000000 (0)
D4RXK3_9FIRM/6-141	7.896923 (13)	0.000000 (0)	0.000000 (0)
A1SPG7_NOCSJ/494-658	5.476923 (11)	0.000000 (0)	0.000000 (0)
G3ATG4_SPAPN/14-165	36.829231 (24)	0.000000 (0)	0.000000 (0)
C2CL69_CORST/4-127	0.330769 (3)	3.160714 (2)	24.333334 (2)
D5EMK5_CORAD/8-151	2.803077 (10)	0.000000 (0)	0.000000 (0)
E6WXB6_PSEUU/5-142	10.658462 (16)	0.000000 (0)	0.000000 (0)
A6GMQ9_9BURK/8-142	0.755385 (6)	131.732147 (8)	0.000000 (1)
Q1YWS1_PHOPR/4-128	1.536923 (8)	72.357140 (6)	0.000000 (1)
B0N8Q0_9FIRM/4-125	1.092308 (8)	13.946428 (3)	22.000000 (2)
A4T7G4_MYCGI/7-131	0.535385 (5)	21.696428 (4)	62.583332 (3)
A8ZYF9_DESOH/7-138	1.066154 (6)	81.928574 (6)	117.500000 (4)
G7WP66_METH6/23-162	0.626154 (6)	105.267860 (7)	117.500000 (4)
B5JE65_9BACT/8-138	1.201538 (7)	131.732147 (8)	56.916668 (3)
F9SK73_VIBSP/8-149	0.406154 (5)	15.839286 (3)	0.000000 (1)
E0SFT5_DICD3/5-139	9.533846 (15)	0.000000 (1)	0.000000 (0)
B4K592_DROMO/6-152	9.684615 (15)	0.000000 (1)	0.000000 (1)
C0Z822_BREBN/4-142	5.935385 (13)	0.000000 (0)	0.000000 (1)
C4ZM90_THASP/136-270	0.472308 (5)	104.964287 (7)	0.000000 (0)
D8PH25_9BACT/26-166	7.426154 (14)	0.000000 (0)	0.000000 (0)
E9RUN1_9FIRM/4-146	17.718462 (18)	0.000000 (0)	0.000000 (0)
C9CZF2_9RHOB/119-253	0.910769 (7)	131.732147 (8)	0.000000 (0)
A0P235_9RHOB/11-142	0.930769 (7)	20.160715 (4)	56.916668 (3)
F6BL68_THEXL/6-146	2.404615 (10)	0.000000 (0)	0.000000 (0)
B1SAQ2_9BIFI/3-175	4.870769 (12)	0.000000 (0)	13.416667 (2)
D9RS48_PREMB/11-158	40.096924 (24)	0.000000 (0)	0.000000 (0)
B1K7V0_BURCC/7-148	9.475385 (16)	0.000000 (0)	0.000000 (0)
D4JDB5_9FIRM/4-141	13.627692 (16)	0.000000 (0)	0.000000 (0)
F9RSA8_9VIBR/5-142	7.767692 (14)	0.000000 (0)	0.000000 (0)
Q1QXH1_CHRSD/6-131	0.484615 (5)	64.875000 (6)	0.000000 (0)
B0CDM8_ACAM1/5-150	42.972309 (25)	0.000000 (0)	0.000000 (0)
G4IE26_9EURY/5-131	0.800000 (7)	4.642857 (2)	117.500000 (4)
D3PWH9_STANL/99-218	0.732308 (7)	13.232142 (3)	0.000000 (1)
A9DNR2_9FLAO/4-134	1.201538 (7)	85.178574 (6)	117.500000 (4)
B4CZ26_9BACT/6-138	0.624615 (6)	104.964287 (7)	117.500000 (4)
A4SZ79_POLSQ/6-140	0.492308 (6)	131.732147 (8)	0.000000 (1)
A7HT30_PARL1/10-144	0.870769 (7)	131.732147 (8)	0.000000 (0)
F6AIW3_PSEF1/3-147	42.972309 (25)	0.000000 (0)	0.000000 (0)
Q24MM3_DESHY/3-141	5.256923 (13)	0.000000 (0)	0.000000 (1)
G2DY61_9GAMM/9-154	46.073845 (26)	0.000000 (0)	0.000000 (0)
B7SKG8_9PSED/3-134	0.689231 (6)	131.732147 (8)	0.000000 (0)
I0U487_BACTR/5-141	4.198462 (12)	0.000000 (0)	24.000000 (2)
F5J147_9PORP/6-136	1.066154 (6)	85.178574 (6)	65.833336 (3)
H0HXR9_9RHIZ/1-129	0.750769 (6)	9.321428 (3)	24.000000 (2)
A0LVV6_ACIC1/3-124	1.200000 (8)	39.035713 (4)	117.500000 (4)
A5CQA9_CLAM3/8-132	0.535385 (5)	3.160714 (2)	62.583332 (3)
A2V7Y0_KLEPN/5-139	6.707692 (13)	0.000000 (1)	0.000000 (0)
C0VYD0_9ACTO/1-156	8.743077 (11)	0.000000 (0)	0.000000 (0)
B4NH98_DROWI/3-150	22.564615 (20)	0.000000 (0)	0.000000 (0)
D3E5V6_GEOS4/6-135	1.201538 (7)	108.482140 (7)	65.833336 (3)
Q2K3A6_RHIEC/6-148	46.073845 (26)	0.000000 (0)	0.000000 (0)
Q0I3P9_HAES1/35-177	21.952307 (19)	0.000000 (0)	0.000000 (0)
F5ZDC0_ALTSS/7-149	37.869232 (24)	0.000000 (0)	0.000000 (0)
H0S0I7_9BRAD/14-148	0.750769 (6)	11.250000 (3)	13.416667 (2)
D3ADP0_9CLOT/16-157	11.892307 (16)	0.000000 (0)	0.000000 (0)
G2HTZ9_9PROT/5-143	25.332308 (20)	0.000000 (0)	0.000000 (0)
C8XIV2_NAKMY/105-224	0.538462 (6)	71.892860 (6)	0.000000 (1)
H0UR99_9BACT/4-142	2.989231 (10)	0.000000 (0)	0.000000 (1)
H1SHN5_9BURK/1-121	2.940000 (7)	0.000000 (0)	0.000000 (1)
G9S735_9PORP/7-152	40.107693 (24)	0.000000 (0)	0.000000 (0)
A4A526_9GAMM/12-151	10.740000 (16)	0.000000 (0)	0.000000 (1)
H1IBW9_9FIRM/4-125	1.380000 (9)	14.035714 (3)	0.000000 (1)
G7DQP1_BRAJP/13-147	0.750769 (6)	11.250000 (3)	13.416667 (2)
Q3A932_CARHZ/3-142	4.429231 (12)	0.000000 (0)	13.416667 (2)
D4L6W8_9FIRM/9-140	4.766154 (12)	0.000000 (0)	24.000000 (2)
B8EKV3_METSB/12-143	0.750769 (6)	11.250000 (3)	56.916668 (3)
B9W8K5_CANDC/14-160	42.536922 (25)	0.000000 (0)	0.000000 (0)
E6KSL8_9ACTO/10-170	13.846154 (18)	0.000000 (0)	0.000000 (0)
F8WQU2_CAMLA/3-127	0.786154 (7)	14.375000 (3)	0.000000 (1)
E3PSZ0_CLOSD/5-125	1.158462 (8)	47.857143 (5)	117.500000 (4)
D4S205_9FIRM/1-140	7.087692 (8)	0.000000 (0)	0.000000 (0)
C6J2E2_9BACL/8-138	1.538462 (8)	84.446426 (6)	117.500000 (4)
F9EHX8_9ACTO/19-183	6.390769 (13)	0.000000 (0)	0.000000 (1)
C5ASS3_METEA/7-150	41.141537 (24)	0.000000 (0)	0.000000 (0)
A5G3Z8_GEOUR/13-154	4.113846 (12)	0.000000 (0)	0.000000 (0)
I0UT20_9MICC/25-174	20.335384 (20)	0.000000 (0)	0.000000 (0)
E1TFA1_BURSG/7-141	0.623077 (6)	24.142857 (4)	0.000000 (0)
F7Q9C4_9GAMM/8-155	28.344616 (22)	0.000000 (0)	0.000000 (0)
Q1LRK9_RALME/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
Q9KAP9_BACHD/4-147	27.106153 (21)	0.000000 (0)	0.000000 (0)
I0AKT4_9BACT/4-149	35.313847 (24)	0.000000 (0)	0.000000 (0)
B8JCM8_ANAD2/5-141	10.658462 (16)	0.000000 (0)	0.000000 (1)
E3QKS2_COLGM/8-157	39.244614 (24)	0.000000 (0)	0.000000 (0)
C9AYA7_ENTCA/4-145	24.595385 (20)	0.000000 (0)	0.000000 (0)
H1X2J7_LEUCI/3-132	1.538462 (8)	108.482140 (7)	117.500000 (4)
E1QKA8_DESB2/6-137	1.141539 (7)	81.928574 (6)	117.500000 (4)
A4AJC8_9ACTN/8-129	0.953846 (7)	39.035713 (4)	117.500000 (4)
A9N3V7_SALPB/7-141	1.350769 (8)	104.964287 (7)	0.000000 (0)
C8XJW1_NAKMY/6-190	1.610769 (9)	0.000000 (0)	0.000000 (0)
C3JSC1_RHOER/101-220	0.538462 (6)	45.232143 (5)	0.000000 (1)
F3ALE9_9FIRM/12-133	1.380000 (9)	34.017857 (4)	22.000000 (2)
F8DYI6_CORRG/6-132	0.535385 (5)	9.321428 (3)	62.583332 (3)
D5CJV1_ENTCC/5-139	10.658462 (16)	0.000000 (0)	0.000000 (0)
D1CAE0_SPHTD/7-136	0.543077 (5)	131.732147 (8)	117.500000 (4)
H2BWZ4_9FLAO/5-147	37.689232 (24)	0.000000 (0)	0.000000 (0)
E2S4A6_9CORY/4-126	0.327692 (4)	0.000000 (1)	24.333334 (2)
B4QTY3_DROSI/6-152	14.912308 (17)	0.000000 (1)	0.000000 (1)
F9TR51_9VIBR/8-150	41.141537 (24)	0.000000 (0)	0.000000 (0)
H1YEY3_9SPHI/4-133	1.201538 (7)	85.178574 (6)	117.500000 (4)
D7NC37_9BACT/11-157	44.315384 (25)	0.000000 (0)	0.000000 (0)
C5DLC5_LACTC/8-154	38.481537 (24)	0.000000 (0)	0.000000 (0)
D6Z0Q9_DESAT/5-135	1.066154 (6)	81.928574 (6)	117.500000 (4)
E4M2D1_9FIRM/5-134	0.755385 (6)	131.732147 (8)	117.500000 (4)
G4K0F2_9RHIZ/9-153	37.095387 (24)	0.000000 (0)	0.000000 (0)
I0KGD6_9BACT/4-134	0.760000 (6)	57.250000 (5)	65.833336 (3)
E4SM82_LACAR/4-133	1.201538 (7)	60.821430 (6)	117.500000 (4)
Q7M9Q6_WOLSU/9-141	0.624615 (6)	84.446426 (6)	49.666668 (3)
G5ITB7_9ENTE/4-133	2.206154 (9)	108.482140 (7)	117.500000 (4)
G6WT24_CORGT/12-155	21.172308 (19)	0.000000 (0)	0.000000 (1)
Q166X6_ROSDO/119-253	0.910769 (7)	131.732147 (8)	0.000000 (0)
A6X808_OCHA4/8-142	0.230769 (5)	43.214287 (5)	0.000000 (0)
D9S1S1_THEOJ/4-136	0.755385 (6)	131.732147 (8)	117.500000 (4)
G4Q4K4_ACIIR/5-150	15.396923 (17)	0.000000 (0)	0.000000 (0)
A2FWZ0_TRIVA/7-141	26.224615 (21)	0.000000 (0)	0.000000 (0)
G5I6Y0_9CLOT/4-145	16.936924 (17)	0.000000 (1)	0.000000 (0)
D9VNV7_9ACTO/4-157	30.761538 (22)	0.000000 (0)	0.000000 (0)
B0CD53_ACAM1/5-128	0.921538 (8)	14.035714 (3)	56.916668 (3)
E8SY64_GEOS2/5-141	3.495385 (11)	0.000000 (0)	24.000000 (2)
Q02CB6_SOLUE/9-129	1.460000 (8)	12.000000 (3)	65.833336 (3)
G2IEU6_9CLOT/3-149	2.060000 (9)	0.000000 (1)	0.000000 (0)
A7BKH3_9GAMM/321-468	2.824615 (10)	0.000000 (0)	0.000000 (0)
B1ZXF3_OPITP/5-135	1.201538 (7)	104.964287 (7)	24.000000 (2)
E0I5S0_9BACL/7-137	1.538462 (8)	84.446426 (6)	117.500000 (4)
A3UAS1_CROAH/4-146	37.869232 (24)	0.000000 (0)	0.000000 (0)
I1AA38_PSEAI/3-134	0.689231 (6)	131.732147 (8)	0.000000 (0)
A7BB74_9ACTO/10-167	13.846154 (18)	0.000000 (0)	0.000000 (0)
D5CDR7_ENTCC/8-142	0.906154 (7)	104.964287 (7)	0.000000 (0)
B1F813_9BURK/7-148	10.243077 (16)	0.000000 (0)	0.000000 (1)
B1ZZW7_OPITP/5-149	5.206154 (12)	0.000000 (0)	0.000000 (1)
D1A584_THECD/5-149	32.307693 (23)	0.000000 (0)	0.000000 (1)
D4MM59_9FIRM/1-131	6.713846 (8)	0.000000 (0)	0.000000 (0)
C3X975_OXAFO/5-138	9.533846 (15)	0.000000 (0)	0.000000 (1)
D8GKY7_CLOLD/4-142	1.843077 (9)	0.000000 (0)	0.000000 (1)
C8XD05_NAKMY/15-159	20.095385 (19)	0.000000 (0)	0.000000 (0)
B5H5Y5_STRPR/7-153	30.761538 (22)	0.000000 (0)	0.000000 (0)
A0LBW4_MAGSM/9-143	0.543077 (5)	28.053572 (4)	0.000000 (0)
A5PDM3_9SPHN/6-149	42.972309 (25)	0.000000 (0)	0.000000 (0)
B6IVN9_RHOCS/12-146	0.476923 (4)	131.732147 (8)	0.000000 (0)
D0LX49_HALO1/7-153	46.073845 (26)	0.000000 (0)	0.000000 (0)
